lat,lon,name
48.8220105,2.3463702,Charlety Pizza
48.8256632,2.3497741,Eat's Times
48.8257731,2.3455104,DownTown
48.8264939,2.3422757,Paris Beirut
48.827652,2.3326075,Kebab Alésia
48.8277159,2.3298764,Sheng Hua
48.8277215,2.3275189,Subway
48.8262851,2.3569695,KFC
48.8647591,2.3979134,McDonald's
48.8698381,2.4029325,Willie’s Diner
48.8721515,2.4047249,La Camilina
48.8784544,2.4099256,Honorine
48.8702659,2.397028,Mobri
48.8251897,2.3469815,Dreams Burger
48.8239465,2.3416177,Pizza Pepino
48.8250781,2.3413713,La Crêpe sur Mesure
48.8256029,2.3415131,Sandwicherie du Parc
48.8655819,2.3982331,Feng Sheng
48.8653472,2.3979562,Planet Sushi
48.8231543,2.3620259,Xin Fu Tang
48.8244266,2.3621253,Da Pai Dang
48.8249394,2.3621629,Khai Tri
48.8223228,2.3286587,Le Soleil
48.8232276,2.3264905,Gourmet d'Asie
48.8248776,2.3197039,I Briganti
48.837044,2.2966074,Thym Olive
48.824821,2.3173938,Boulhanne
48.8263543,2.312349,Conney'Zza
48.8261212,2.3115121,Traiteur Asiatique
48.826526,2.3097003,Mei Mei
48.8273555,2.3052815,La Cabane
48.8371109,2.2784676,Halles Balard
48.8421188,2.2774869,The Tasty Corner
48.8335182,2.2869481,Bar à Couscous
48.8467079,2.4104905,Le Pacha Grill
48.8440402,2.4107413,La Boîte à Pizza
48.8353898,2.2817074,Asian Bowl
48.8900609,2.3623123,Shatha TimeFood
48.8305373,2.292538,Snack du Parc
48.829006,2.3007345,Le Miam's
48.8286719,2.3018801,Pépé Santana
48.8332039,2.2893469,Baran
48.8460301,2.2776353,King Food
48.8424992,2.2778394,Xi Long
48.890011,2.3627853,HFC
48.824294,2.3282027,Amaretto
48.8243387,2.3286665,Veni Vici
48.8423322,2.2819847,Eyfel
48.8907685,2.3611697,Sababa
48.8906117,2.3602364,McDonald's
48.8323761,2.3150659,Ephese
48.8500212,2.2919369,JU BIN
48.8309505,2.3809871,GFC Restaurant
48.8371089,2.3521509,Tasty food
48.8724968,2.3002227,Quick
48.8841936,2.349154,Burger King
48.8328649,2.2888457,Subway
48.8269835,2.3573476,Paris Sud
48.8269435,2.3633896,King Food
48.8269324,2.3638037,Good Way
48.8269117,2.3634246,Poggi Cup
48.8365709,2.3742554,Burger King
48.8539007,2.3710566,Burger King
48.8280589,2.3563698,Broz Burger & Co.
48.8303208,2.357022,O'Tacos
48.8906438,2.3596534,Occo Chicken
48.8467226,2.4102506,O'Tacos
48.8914345,2.3596388,Golden Food
48.8901098,2.361774,Paris Star Food
48.8854958,2.3656011,Chicken Spot
48.8919648,2.3596358,Le Paname
48.8901565,2.3589941,Subway
48.8351646,2.3976296,Imime
48.834708,2.3971806,Speed Pizza
48.874618,2.3297594,Subway
48.8534028,2.3417219,Maoz
48.8455586,2.3490601,Momo
48.8668316,2.3636932,King Sandwich
48.8667815,2.3637823,Xingfu Tang
48.8574812,2.3802834,McDonald's
48.8296723,2.3748324,Croq de Bibliothèque
48.829878,2.375227,Istanbul grill
48.8291241,2.3762991,Memo's Resto
48.8866184,2.3227356,Garni
48.8675416,2.3472475,Subway
48.8734037,2.370468,Alto
48.8615372,2.3491473,Pita Tacos
48.8470794,2.3701786,Deliziosa
48.8551122,2.368942,Poké Parisien
48.8540476,2.3699964,McDonald's
48.8199882,2.3571489,Pizza Pronto
48.8325199,2.3357756,Au Régal Saint-Jacques
48.8901969,2.3579447,Grecs Chauds
48.8921834,2.3635197,Mon'Dwich'
48.8733376,2.32251,Sources
48.875816,2.3278533,Exki
48.8395405,2.3235675,Good Time Resto
48.8852322,2.2913238,Subway
48.8672775,2.3441465,Tartelettes
48.8778139,2.3651201,El Nopal
48.876128,2.3384291,Jbc
48.8761937,2.3384548,Elle&Dee's
48.8389034,2.3510109,Lazy Suzy
48.8520562,2.3392252,Burger & Fries
48.8332758,2.362329,Woodiz
48.8280277,2.3557522,Falafel Gégé
48.8754564,2.32838,McDonald's
48.8754384,2.3285619,Pomme de Pain
48.8760387,2.3312569,Pret A Manger
48.8303481,2.3510629,Falafel
48.8303304,2.3510083,Good Pizza
48.8311978,2.2926478,Ta5ty Pizza
48.8547918,2.3860308,GD
48.8548359,2.3856354,Grand bol Larges nouilles
48.8542704,2.2893594,Subway
48.8528817,2.3458751,Oriental Bowl
48.8531209,2.3453617,Le Minos
48.8971804,2.3586921,King Cock
48.8988613,2.3696127,La Source
48.8494708,2.3495778,Sushi Shop
48.841447,2.317524,Subway
48.841502,2.317449,Sushi Best
48.8709594,2.3479984,Label Ferme
48.8478055,2.2897402,Ben & Men
48.8751006,2.3400657,Bioburger
48.8748884,2.3397356,Pizza di Loretta
48.8750444,2.3389313,RIM
48.852787,2.3453984,Chicken Spot
48.8253534,2.3417072,L'Amiral Chicken
48.8474749,2.4107917,McDonald's
48.8735547,2.3708418,Rouge DO
48.8770585,2.3479815,VG
48.8429388,2.3244928,Juni
48.8461498,2.3724726,O' Délices
48.846606,2.3717286,Muki Sushi
48.8384271,2.3603013,Nawab
48.8908952,2.3778259,Palais du Wenzhou
48.8236699,2.3253938,Planet Food
48.8298598,2.3564266,Restaurant Istanbul
48.8714523,2.3041019,McDonald's
48.8319249,2.3247582,Poké Zone
48.8708417,2.3567986,Faste
48.8665236,2.3465227,Le Bellan
48.827498,2.3718441,O'Tacos
48.8304902,2.3544604,Lüks
48.8304333,2.3542652,Smatch
48.8740637,2.3160851,Ankka Boétie
48.8544579,2.3624454,Subway
48.8735748,2.3177002,Prima Verde
48.8359585,2.3467604,The Sandwicherie
48.8332646,2.3318599,Berliner
48.878092,2.2851801,Sushi Étoile
48.8329088,2.4001708,Pizza 4 You
48.8662074,2.339699,Rotistreet
48.8337767,2.3536196,Bioburger
48.8323923,2.3545576,Good Food
48.88768,2.297948,Le Rendez-vous de Midi
48.8300769,2.3528929,Favorite Food
48.8525392,2.3892934,Le fournil de Paris
48.8526917,2.3890319,Nouveaux Délices
48.881361,2.294963,Chicken Store
48.881394,2.295041,NEMESIS Artisan Kebabier
48.8396212,2.3497285,Compagnie des Glaces
48.8401276,2.3498418,Bocamexa
48.8402183,2.3497081,Asie Prestige
48.8403006,2.349696,Zamane
48.8405594,2.3497771,Rôtisserie Segar
48.84095,2.3497288,Restaurant Méditerrannée
48.8419165,2.3497914,Vista
48.842072,2.3498351,Sushi Spot
48.8424242,2.3498245,"Tang, Hu & Lu"
48.842797,2.3495936,Au P'tit Grec
48.8428394,2.3495838,Restaurant Istanbul
48.8428906,2.3495719,Crêperie Mouffetard
48.8436278,2.3493777,Singh
48.8441847,2.3493876,Genia
48.8603464,2.3558088,Le Mandarin de Rambuteau
48.8690272,2.3251599,Pret A Manger
48.877034,2.327136,Éphèse
48.8522732,2.3263458,Cojean
48.8898348,2.3752178,McDonald's
48.8612055,2.3479949,Burger King
48.8458615,2.3544188,Kebab Istanbul
48.8461919,2.3543474,Philly' OBTB
48.8303038,2.3757207,Asia Story
48.8306843,2.3753807,Big Fernand
48.8342079,2.4196014,Zakko
48.8757429,2.327251,Maître Kebabier
48.8485811,2.341348,Poké Shop
48.8335553,2.3314664,Sushi Shop
48.8765787,2.3774487,Allo Pizza
48.8759744,2.3808497,Le Gâteau sur la Cerise
48.881279,2.285366,Le Gourmet
48.8501437,2.3788464,Italian Meal
48.8504944,2.3783154,Breadway
48.8501185,2.3780311,Pizza Ciao
48.8467987,2.3783255,Venise Pizza
48.8496807,2.3704181,Ari's Bagel
48.8467182,2.3827301,Cristal Doner
48.8602996,2.3436624,HD Diner
48.8780446,2.374325,Paradise Pizza
48.8755076,2.3737735,ATS pasto
48.8746983,2.3799872,Fri-chiks & Pizza
48.8762016,2.3330016,Cojean
48.8770438,2.3854724,Yum's
48.8785273,2.385463,Fournil des Buttes
48.8791511,2.3858484,Bagels & Salad Bar
48.8799411,2.3744955,Mr. Shnitz
48.8817189,2.371808,Dyonisos
48.881989,2.3718119,Dôni
48.8824838,2.370692,Subway
48.881614,2.3645061,Pizzeria Bella Italia
48.879702,2.37181,Asu Mare
48.8456759,2.2981504,Andiamo Pizza
48.8444718,2.32282,baba bey
48.881984,2.3739722,L'atelier du burger
48.8853902,2.3812643,Extra Time
48.8855353,2.3816653,Fresh Food
48.8792836,2.3779317,Aux Délices d'Abraham
48.880651,2.3749071,elma & nar
48.8809463,2.3742516,Pizza Hut
48.8829957,2.3867138,Chilo
48.8832752,2.3888891,Mac Queen
48.8832338,2.3887228,Al Haeche
48.8437934,2.3525958,Palika Poké
48.8466518,2.3051464,La Cucina
48.8480552,2.35395,Le Squab
48.848154,2.354111,Falafelo
48.8849193,2.392737,Jo's Bar
48.884558,2.304364,Flash Burger
48.8792457,2.3884047,Pizza del Parco
48.879307,2.3884134,Delices Park
48.8832913,2.3710887,Les delices d'amour
48.8818738,2.3705641,Les Délices d'Antalya
48.8786882,2.3705956,Mamagaya
48.8769451,2.3718926,Chicken King
48.8758415,2.3731428,Délices de la Villette
48.8725727,2.3780936,Bubble Tea
48.8746769,2.3867371,Trattoria
48.8747184,2.386917,Grill Mesopotamia
48.875493,2.3902359,Kanaya
48.875525,2.3907401,O'Snack
48.8708629,2.342723,Picto
48.8708013,2.3426831,Mimosa
48.8844115,2.3802894,Caballito
48.8755651,2.3980738,Star Kebab
48.8755667,2.3982196,253 Bellevile st.
48.8607151,2.3546723,Homer Lobster
48.8609798,2.3538959,Pietro
48.8610694,2.3536632,Cul de Cochon
48.8329006,2.331539,Traiteur Phô
48.8833171,2.3822598,Douâa sushi
48.8745803,2.3872724,Le Dragon d'Or
48.8753695,2.3909728,Subway
48.8753788,2.3918022,Xia's Fast Food
48.875284,2.3928771,New delice
48.8752284,2.3938156,Marmaris
48.8614005,2.3583195,Hank Vegan Burger
48.8731633,2.3799196,Komy Tofu
48.8732499,2.3799098,Bonheur
48.8710895,2.3698949,Ho-Made
48.8730847,2.3747665,Chez Dong
48.8730948,2.3617033,Vafamoc
48.8950228,2.3876904,Burger King
48.8441931,2.2933256,The french donuts
48.8439501,2.2933623,Bubble Sweet
48.8568791,2.3783866,La libanaise
48.8357873,2.406551,Burger King
48.8308126,2.276038,McDonald's
48.8707054,2.3597617,Pizza Tova
48.885383,2.292536,Doner King
48.8581355,2.3816625,Ôzgül
48.8632073,2.3663642,Le Fournil de Paris
48.8411643,2.373938,Any Time
48.8419974,2.3758364,Sushi Plus
48.8615983,2.3823706,La maison du Daya
48.8615951,2.3740983,Pizza 67
48.861254,2.3750036,Restaurant Excellent
48.8626127,2.3798343,Pizza San Marco
48.8642124,2.3666949,Di Roma
48.8633879,2.3618031,Sushi Shop
48.8725146,2.3295568,Tavernier & Co
48.8721401,2.3254288,Subway
48.846268,2.3957143,Campus Snacking
48.8642397,2.3685947,Heng Heng
48.864776,2.368066,Les Délices du 24
48.865437,2.3690402,Fong Lai
48.8475483,2.3188336,Focaccia Club
48.8472007,2.3179499,Pokeso
48.8476981,2.3192166,Yibol
48.8569959,2.3781718,Grill Adana
48.8568166,2.3777176,La Fontaine d'Or
48.8567545,2.3775632,Focaccia Club
48.8566047,2.3776373,Chez les deux amis
48.8565055,2.3774238,La Cappadoce
48.8535269,2.3378673,Le Camion qui Fume
48.8683838,2.3420677,Cojean
48.882085,2.294462,En Cas d'Encas
48.875533,2.293799,Bagelstein
48.8624021,2.3651667,Cosi
48.8644997,2.3655947,808 Mac and Cheese
48.8617572,2.3718073,ladid
48.8626679,2.3627043,Traiteur Chinois
48.8630208,2.3680258,Wan Gourmand
48.8642859,2.3657337,#NoComment
48.8616168,2.3707953,Nang Loan
48.862902,2.3681754,Planet Grill
48.873985,2.358594,Paristanbul
48.873489,2.3588318,Restaurant Delena Delices D'anatolie
48.8658909,2.3655839,Osha
48.86097,2.3544885,Burger Joint
48.8608503,2.3548732,Falafel du Liban
48.8484846,2.3412854,Saj
48.8620609,2.3666953,L'Annexe
48.8512662,2.3558009,Wonderland Brunchy
48.8340305,2.3184516,Traiteur Asiatique
48.8615993,2.3829249,Zelal Kebab
48.8617144,2.3827293,La joie de vivre
48.8647767,2.3558282,Mei Wei Xiang
48.8787845,2.4010679,Halal Pizza
48.8646229,2.3720615,Kebab
48.8950758,2.3525434,Allo Rapido Pizza
48.8545165,2.3710722,Gangs
48.8633043,2.3881256,Dr. Auguste
48.857826,2.3813509,El baraka
48.8570236,2.3551292,La Focacceria
48.8391648,2.3093488,Chez Yang
48.8394474,2.3094018,Nafnafa
48.8392554,2.3094392,Appia
48.8427154,2.3132213,Subway
48.8426287,2.3123537,Pasteur Express
48.8445586,2.3185442,Juba Kebab
48.8525728,2.3463576,Falafel for You
48.8440829,2.3724794,Exki
48.8533957,2.3417901,Cozy Factory
48.8289516,2.3820071,Papita
48.867325,2.3845429,Le point grill
