lat,lon,name,type
48.8491992,2.3746133,Miammiamgourmet,Fastfood
48.844059,2.3309583,Subway,Fastfood
48.8912809,2.373301,Saveur19,Fastfood
48.8912906,2.3732373,Shayancrêpe,Fastfood
48.8907391,2.37624,Grillistanbul,Fastfood
48.8912655,2.3733889,Royalkebab,Fastfood
48.8913678,2.3728055,Sofast,Fastfood
48.8689587,2.3676791,Mcdonalds,Fastfood
48.8534593,2.2901463,Banhme,Fastfood
48.8743099,2.3349677,Lemandarinprovence,Fastfood
48.8941309,2.3464051,Nostrapizza,Fastfood
48.870326,2.35968,Hoasheng,Fastfood
48.8702519,2.3608939,Wakoya,Fastfood
48.870339,2.360958,Sandwicheriedelétoile,Fastfood
48.8713609,2.3621653,Elguacamole,Fastfood
48.87188,2.362623,Bopome,Fastfood
48.8433391,2.3495909,Pokehouse,Fastfood
48.8446965,2.3491214,Kapriskebab,Fastfood
48.893329,2.347965,Ikko,Fastfood
48.8442142,2.3394025,Friendscaffé,Fastfood
48.8406254,2.3514242,Banhmiviet,Fastfood
48.842285,2.3428812,Frnji,Fastfood
48.8445475,2.3489869,Auvieuxcèdre,Fastfood
48.8438395,2.349328,Oroyona,Fastfood
48.875436,2.3230438,Kokemaki,Fastfood
48.8272506,2.3324296,Exoexquis,Fastfood
48.8524138,2.4039321,Dominos,Fastfood
48.8526347,2.4037316,Pizzadinapoli,Fastfood
48.8334062,2.3093323,Vernazza,Fastfood
48.8436931,2.3250669,Crèperiehenri,Fastfood
48.8791933,2.3537222,Dominos,Fastfood
48.8511306,2.3762533,Mcdonalds,Fastfood
48.8513051,2.376541,Sushishop,Fastfood
48.8354795,2.3859524,Lescaledebercy,Fastfood
48.8353707,2.3857553,Wok,Fastfood
48.8235218,2.3535125,Restodélice,Fastfood
48.8332582,2.3868999,Fiveguys,Fastfood
48.8695686,2.3540691,Kfc,Fastfood
48.8727754,2.3542137,Munichkebab,Fastfood
48.8751277,2.3356357,Bento9,Fastfood
48.8721385,2.3402693,Mcdonalds,Fastfood
48.8710539,2.3468277,Pommedepain,Fastfood
48.869624,2.3521021,Wokantine,Fastfood
48.8709012,2.3471884,Crocgourmandises,Fastfood
48.8816031,2.3282156,Délices9ème,Fastfood
48.8815556,2.3282349,Végétable,Fastfood
48.8820869,2.3282092,Shinegarden,Fastfood
48.8810608,2.3284577,Maloa,Fastfood
48.8816188,2.3284123,Popotes,Fastfood
48.8743562,2.3331088,Cojean,Fastfood
48.8741989,2.3323945,Dailymonop,Fastfood
48.8743316,2.332237,Mivami,Fastfood
48.8741996,2.3346158,Leprintempsdejade,Fastfood
48.8743366,2.3324942,Pommedepain,Fastfood
48.8743269,2.3319969,Pommedepain,Fastfood
48.8742352,2.3331688,Traiteurchezvictor,Fastfood
48.8743346,2.3323904,Traiteurparisgourmand,Fastfood
48.833425,2.3538574,Subway,Fastfood
48.8770037,2.340674,Dominos,Fastfood
48.8763841,2.3396912,Restaurantkemer,Fastfood
48.833932,2.2905002,Fivepizzaoriginal,Fastfood
48.8333665,2.2888984,Sucrésalé,Fastfood
48.8712127,2.3428611,Labelgefrite,Fastfood
48.8245312,2.3763864,Gfcrestaurant,Fastfood
48.8965126,2.338596,Starfood,Fastfood
48.8977404,2.3441141,Kfc,Fastfood
48.8973837,2.3440556,Occo,Fastfood
48.8972576,2.3445957,Mcdonalds,Fastfood
48.8959431,2.3465728,Mcdonalds,Fastfood
48.8958845,2.3378271,Latipica,Fastfood
48.8939425,2.3332789,Sabaidicook,Fastfood
48.8940193,2.3281208,Tafatraiteur,Fastfood
48.8960928,2.328256,Otacos,Fastfood
48.8328561,2.3610753,Snapfood,Fastfood
48.8446658,2.3899217,Subway,Fastfood
48.8350202,2.2887764,Fivechicken,Fastfood
48.8825599,2.3377557,Mcdonalds,Fastfood
48.8304109,2.3569512,Tanggourmet,Fastfood
48.8505641,2.3458479,Délicegourmandsandwich,Fastfood
48.8491427,2.342205,Goiko,Fastfood
48.8496939,2.3425595,Kfc,Fastfood
48.8499965,2.3427394,Fruitea,Fastfood
48.8464002,2.3430461,Newluxembourg,Fastfood
48.8768274,2.3154292,Surlepouce,Fastfood
48.858095,2.4069089,Pizzam,Fastfood
48.8570117,2.4079775,Dreamfood,Fastfood
48.8648537,2.3969431,0tacos,Fastfood
48.8693235,2.3602586,Lestontonsveg,Fastfood
48.8362526,2.3943323,Restaurantkiraz,Fastfood
48.8618218,2.351243,Crêperiedeparis,Fastfood
48.8551956,2.271862,Cosy,Fastfood
48.8686202,2.2917008,Classcroute,Fastfood
48.8655729,2.2888144,Wearejuice,Fastfood
48.8654023,2.2892331,Manjéco,Fastfood
48.8659106,2.2896026,Pegast,Fastfood
48.8666727,2.2896122,Pommedepain,Fastfood
48.8657015,2.2894505,Speedrabbitpizzapariskleber,Fastfood
48.8666223,2.3829258,Soleildistambul,Fastfood
48.835382,2.288716,Pizzaeva,Fastfood
48.8776378,2.3267921,Pachakebab,Fastfood
48.8593308,2.3476821,Chamastacos,Fastfood
48.8614662,2.3529099,Coffeestation,Fastfood
48.8597929,2.3481612,Thymthym,Fastfood
48.8813958,2.3725664,Sushishop,Fastfood
48.8816605,2.3742025,Cheztata,Fastfood
48.8733154,2.3614767,Starfastfood,Fastfood
48.8415969,2.3246205,Mamyrosa,Fastfood
48.8430469,2.3258843,Pommedepain,Fastfood
48.8406398,2.3163536,Traiteurphénicien,Fastfood
48.8429071,2.3240641,Kebabcorner,Fastfood
48.8304057,2.3773491,Prêtàmanger,Fastfood
48.827435,2.3056152,Restaurantélite,Fastfood
48.827252,2.3064254,Royalfood,Fastfood
48.8819888,2.3141295,Subway,Fastfood
48.8716988,2.3432474,Lacrèmedeparis,Fastfood
48.8723365,2.343317,Lerapide,Fastfood
48.8615882,2.3522983,Sweetraviolis,Fastfood
48.8445865,2.3900144,Auxdélicesdereuilly,Fastfood
48.8455223,2.3888818,Burgershop,Fastfood
48.8470414,2.3872131,Auplaisirdupain,Fastfood
48.8603374,2.3477659,Otacos,Fastfood
48.8603213,2.3479639,Raāsacheesenaan,Fastfood
48.8605765,2.3486458,Gladalle,Fastfood
48.8597934,2.3508151,Subway,Fastfood
48.8609476,2.347379,Fiveguys,Fastfood
48.8205256,2.3499518,Lecharlety,Fastfood
48.8498626,2.3938772,Restaurantkusadasi,Fastfood
48.8237126,2.3653208,Thiengheng,Fastfood
48.8211618,2.3417447,Auptitliard,Fastfood
48.8194688,2.3590386,Stoppain,Fastfood
48.8226598,2.3460965,Pâtesthai,Fastfood
48.8220105,2.3463702,Charletypizza,Fastfood
48.8256632,2.3497741,Eatstimes,Fastfood
48.8257731,2.3455104,Downtown,Fastfood
48.8264939,2.3422757,Parisbeirut,Fastfood
48.827652,2.3326075,Kebabalésia,Fastfood
48.8277159,2.3298764,Shenghua,Fastfood
48.8277215,2.3275189,Subway,Fastfood
48.8262851,2.3569695,Kfc,Fastfood
48.8647591,2.3979134,Mcdonalds,Fastfood
48.8698381,2.4029325,Williesdiner,Fastfood
48.8721515,2.4047249,Lacamilina,Fastfood
48.8784544,2.4099256,Honorine,Fastfood
48.8702659,2.397028,Mobri,Fastfood
48.8251897,2.3469815,Dreamsburger,Fastfood
48.8239465,2.3416177,Pizzapepino,Fastfood
48.8250781,2.3413713,Lacrêpesurmesure,Fastfood
48.8256029,2.3415131,Sandwicherieduparc,Fastfood
48.8655819,2.3982331,Fengsheng,Fastfood
48.8653472,2.3979562,Planetsushi,Fastfood
48.8231543,2.3620259,Xinfutang,Fastfood
48.8244266,2.3621253,Dapaidang,Fastfood
48.8249394,2.3621629,Khaitri,Fastfood
48.8223228,2.3286587,Lesoleil,Fastfood
48.8232276,2.3264905,Gourmetdasie,Fastfood
48.8248776,2.3197039,Ibriganti,Fastfood
48.837044,2.2966074,Thymolive,Fastfood
48.824821,2.3173938,Boulhanne,Fastfood
48.8263543,2.312349,Conneyzza,Fastfood
48.8261212,2.3115121,Traiteurasiatique,Fastfood
48.826526,2.3097003,Meimei,Fastfood
48.8273555,2.3052815,Lacabane,Fastfood
48.8371109,2.2784676,Hallesbalard,Fastfood
48.8421188,2.2774869,Thetastycorner,Fastfood
48.8335182,2.2869481,Baràcouscous,Fastfood
48.8467079,2.4104905,Lepachagrill,Fastfood
48.8440402,2.4107413,Laboîteàpizza,Fastfood
48.8353898,2.2817074,Asianbowl,Fastfood
48.8900609,2.3623123,Shathatimefood,Fastfood
48.8305373,2.292538,Snackduparc,Fastfood
48.829006,2.3007345,Lemiams,Fastfood
